날짜,종가,오픈,고가,저가,거래량,변동 %
2022-01-13,3182.06 ,"3,215.83","3,226.48","3,176.94",-,-1.00%
2022-01-12,3214.19 ,"3,197.21","3,226.08","3,197.09",-,0.65%
2022-01-11,3193.39 ,"3,166.10","3,196.04","3,154.08",-,0.86%
2022-01-10,3166.14 ,"3,178.67","3,179.21","3,119.92",-,-0.36%
2022-01-07,3177.54 ,"3,184.75","3,193.58","3,167.25",-,-0.22%
2022-01-06,3184.62 ,"3,200.04","3,200.06","3,169.32",-,-0.57%
2022-01-05,3203.03 ,"3,246.88","3,251.78","3,199.85",-,-1.39%
2022-01-04,3248.12 ,"3,242.14","3,261.66","3,235.50",-,0.21%
2022-01-03,3241.43 ,"3,230.72","3,243.73","3,223.85",-,0.30%
2021-12-31,3231.73 ,"3,237.45","3,241.14","3,231.53",-,-0.16%
2021-12-30,3237.07 ,"3,243.68","3,251.95","3,235.79",-,-0.21%
2021-12-29,3243.95 ,"3,240.19","3,247.98","3,235.18",-,0.14%
2021-12-28,3239.28 ,"3,240.05","3,251.16","3,236.98",-,0.05%
2021-12-27,3237.70 ,"3,206.33","3,238.29","3,204.45",-,0.96%
2021-12-24,3206.85 ,"3,207.02","3,208.23","3,205.40",-,0.02%
2021-12-23,3206.08 ,"3,184.42","3,214.28","3,184.37",-,0.71%
2021-12-22,3183.62 ,"3,153.86","3,185.61","3,152.40",-,0.99%
2021-12-21,3152.31 ,"3,102.05","3,154.55","3,101.44",-,1.67%
2021-12-20,3100.50 ,"3,135.90","3,136.28","3,083.19",-,-1.25%
2021-12-17,3139.75 ,"3,168.17","3,168.31","3,125.51",-,-0.87%
2021-12-16,3167.33 ,"3,178.78","3,201.87","3,159.24",-,-0.25%
2021-12-15,3175.11 ,"3,136.92","3,178.68","3,126.59",-,1.18%
2021-12-14,3138.06 ,"3,161.89","3,164.30","3,124.71",-,-0.76%
2021-12-13,3162.00 ,"3,188.79","3,190.95","3,161.78",-,-0.82%
2021-12-10,3188.26 ,"3,173.00","3,190.54","3,167.21",-,0.50%
2021-12-09,3172.49 ,"3,197.12","3,197.47","3,172.49",-,-0.75%
2021-12-08,3196.39 ,"3,185.52","3,199.79","3,183.18",-,0.38%
2021-12-07,3184.17 ,"3,118.29","3,188.27","3,118.26",-,2.14%
