,0,1,2,3,4,5,6,7,8,9
0,-0.30978546,0.075994626,0.65473765,-0.049071115,-1.0037693,0.4237327,1.103138,0.7992266,-1.0111144,0.3196858
1,-0.48408115,0.26526165,0.8301547,-0.8463094,-1.1537447,0.43761083,0.29213598,0.22546774,-1.0373186,0.45246065
2,-0.4180869,0.13773376,0.42173862,-0.018071871,-1.0830183,1.2167006,1.311467,-0.28217843,-1.1998701,0.6812745
3,-0.6028619,0.07451181,1.1341195,-0.32975116,-1.1615474,1.4921457,1.194224,-0.31187147,-0.59835106,1.5733016
4,-0.32369685,-0.10088755,1.5751396,-1.3299505,-0.67588085,1.3766668,0.88905597,-0.4834239,0.07600881,0.6300954
5,0.21761566,-0.70665336,0.6441945,-0.6098661,-0.7654826,1.583833,0.1210765,-0.052347887,-1.2156318,1.5164123
6,-0.14894229,-0.16550474,0.71328163,-0.50593585,-1.4559462,0.33030495,0.5422608,-0.12569068,-0.65669054,0.88384223
7,0.09630071,-0.20026663,3.0670853,-2.0376904,-2.85262,1.6713799,-0.5909448,-0.55086786,1.0514647,0.58041435
8,0.20471275,0.20537879,1.2178155,-1.111013,-0.33480945,1.2415806,0.27035508,-0.8578193,-0.98183,0.7074156
9,-0.582164,-0.24397428,0.87639433,-0.31445548,-1.4039123,0.27932158,2.2613585,-0.12285362,-1.0048803,2.114725
10,-0.78644,0.4955604,0.526103,0.477272,-0.96140784,0.6739701,1.6752319,0.17887796,-1.2271518,1.3207147
11,0.24432524,0.20229785,0.55132854,0.42963666,-0.89018893,1.2322598,0.33275148,-0.026123006,-1.6881305,-0.14860435
12,-0.33286774,-0.09664591,0.5478736,0.0490547,-0.3942031,0.8226351,1.0081757,-0.069596335,-0.98618,0.5747108
13,-0.3718735,0.029319003,0.8127561,-0.3397586,-1.0026724,0.67012006,1.1846858,0.65221286,-0.60524774,0.43921283
14,-0.44036138,0.16752666,1.3812417,-0.725243,-0.9086618,1.3290981,1.0832132,-0.21627423,-1.4539782,1.5977074
15,-0.23034701,0.36025393,1.7798102,-0.3605687,-1.6649237,0.65086025,2.4312332,0.05517618,-0.39642522,0.6887529
16,-0.18496102,0.5673137,1.0382234,-0.35229823,-0.60671633,0.8328056,1.6960285,0.4061688,0.5081386,1.3741826
17,-0.71394384,-0.31884813,0.87393785,-0.57395023,-1.099163,0.81120545,1.7094015,-0.06920776,-0.86509264,1.4974289
18,-0.28444988,-0.53840834,1.4386238,-1.1354047,0.13700728,0.6505793,0.0023629162,-0.9305194,-0.4501646,-0.23466186
19,-0.5653242,0.066289455,0.60586226,-1.630174,-0.18877631,0.3219432,1.3088033,-1.0572053,-0.447606,1.8305743
20,-0.56364,0.16683951,0.44486693,0.1472136,-1.462175,0.7948449,0.912333,0.33693075,-0.9410806,0.95422
21,0.46364427,0.4299463,1.7110475,-1.4064788,-1.2095023,1.9369295,0.348995,-0.7528467,0.06219073,0.78386647
22,-0.8728312,0.9769573,1.7381705,-1.3124797,-1.5183588,1.2581967,0.6410869,1.3204186,-1.2931491,-0.99131495
23,-0.05653832,0.01756499,0.41642016,-0.37338993,-0.22696956,0.7145241,0.17401022,-0.28014618,-0.8811564,0.50004464
24,-0.8243314,1.8418108,1.893839,-0.6900748,-0.68177336,1.7939396,1.3775407,-0.28312322,-1.7316365,1.3179044
25,0.15106267,-0.064469576,0.82610923,-1.2307701,-0.07613276,0.9718358,0.3839064,-0.8583734,-0.78862435,1.2731347
26,-0.29191405,0.39774412,1.7322046,-1.8956468,-0.4614668,1.9508854,0.6127829,-1.0789303,-0.7466861,0.6754375
27,0.032985322,0.16723298,1.13714,-0.84014714,-0.22831737,0.7873079,1.8137573,-1.0256993,-0.4534996,0.60886014
28,-0.4718315,-0.6447879,0.6771126,-1.9814597,-0.4670584,1.6219045,-0.31137073,-0.40104485,-1.0182188,0.84706473
29,-0.38637868,0.5124262,1.097756,-0.14329742,-1.4859464,0.5789214,2.2680984,0.28253466,-0.75169086,1.0798479
